2025-10-02 03:10:45.690 28811-28811 Capacitor/...oardPlugin com.confessr.app                     V  Notifying listeners for event keyboardWillShow
2025-10-02 03:10:45.690 28811-28811 Capacitor/...oardPlugin com.confessr.app                     D  No listeners found for event keyboardWillShow
2025-10-02 03:10:46.019 28811-28811 Capacitor/...oardPlugin com.confessr.app                     V  Notifying listeners for event keyboardDidShow
2025-10-02 03:10:46.019 28811-28811 Capacitor/...oardPlugin com.confessr.app                     D  No listeners found for event keyboardDidShow
2025-10-02 03:10:48.950 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:48.906 [send-1759354848333-j3sugham9ec] auth: using cached token snapshot=true
2025-10-02 03:10:48.951 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:48.907 [send-1759354848333-j3sugham9ec] postgrest present=true hasAuthFn=false
2025-10-02 03:10:48.951 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:48.907 [send-1759354848333-j3sugham9ec] fast-path: using direct REST upsert (snapshot token)
2025-10-02 03:10:48.951 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:48.907 [send-1759354848333-j3sugham9ec] stage: network attempt started (path=rest)
2025-10-02 03:10:48.952 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:48.907 [send-1759354848333-j3sugham9ec] POST /messages (fast-path)
2025-10-02 03:10:48.952 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:48.907 [send-1759354848333-j3sugham9ec] stage: pre-network
2025-10-02 03:10:48.953 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:48.907 [send-1759354848333-j3sugham9ec] fast-path: direct REST upsert -> https://sxykfyqrqwifkirveqgr.supabase.co/rest/v1/messages?on_conflict=dedupe_key&select=*,reactions(*),users!messages_user_id_fkey(display_name,avatar_url)
2025-10-02 03:10:48.953 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:48.907 [send-1759354848333-j3sugham9ec] POST /messages (fast-path)
2025-10-02 03:10:48.954 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:48.907 [send-1759354848333-j3sugham9ec] stage: network attempt started (path=rest)
2025-10-02 03:10:49.162 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:49.158 [send-1759354848333-j3sugham9ec] fast-path: direct REST upsert successful
2025-10-02 03:10:49.162 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:49.159 [send-1759354848333-j3sugham9ec] stage: response received
2025-10-02 03:10:49.162 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:49.159 ✅ Direct send successful - message 1759354848333-j3sugham9ec
2025-10-02 03:10:49.163 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:49.159 [TERMINAL] DIRECT_SUCCESS id=1759354848333-j3sugham9ec ts=2025-10-01T21:40:49.159Z
2025-10-02 03:10:49.163 28811-28811 Capacitor/Console       com.confessr.app                     D  File: https://localhost/assets/index-hb7OPIml.js - Line 355 - Msg: [send-1759354848333-j3sugham9ec] attempt-1: 252.97509765625 ms
2025-10-02 03:10:49.163 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:49.161 ✅ Message 1759354848333-j3sugham9ec sent successfully
2025-10-02 03:10:49.163 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:49.161 [supabase-pipeline] push-fanout call: origin=https://localhost headers=[Content-Type,apikey,Authorization]
2025-10-02 03:10:49.265 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 386 - Msg: [realtime-v2] 📨 Realtime INSERT received: id=b891cd83-b811-45ac-a8de-353d05d8aa30, content="Gxt7citxt. H i y...", user=839d1d4a-e72b-47bb-b74e-ef28a15f43ee, dedupe=d:839d1d4a-e72b-47bb-b74e-ef28a15f43ee:78045bbf-7474-46df-aac1-f34936b67d24:1759354848333-j3sugham9ec
2025-10-02 03:10:49.380 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 386 - Msg: [realtime-v2] 📨 Built message from row: id=b891cd83-b811-45ac-a8de-353d05d8aa30, delivery_status=delivered
2025-10-02 03:10:49.381 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 386 - Msg: 📨 attachMessageToState: action=replaced-by-dedupe, id=b891cd83-b811-45ac-a8de-353d05d8aa30, before=26, after=26
2025-10-02 03:10:49.381 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 362 - Msg: 📦 MessageCache: CACHED 10 messages for group 78045bbf-7474-46df-aac1-f34936b67d24
2025-10-02 03:10:49.382 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 386 - Msg: 📦 MessageCache updated for group 78045bbf-7474-46df-aac1-f34936b67d24 after realtime insert (26 messages)
2025-10-02 03:10:49.382 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 386 - Msg: [realtime-v2] 📨 Message attached to state: id=b891cd83-b811-45ac-a8de-353d05d8aa30
2025-10-02 03:10:49.457 28811-28811 Capacitor/Plugin        com.confessr.app                     V  To native (Capacitor plugin): callbackId: 123754010, pluginId: CapacitorSQLite, methodName: run
2025-10-02 03:10:49.457 28811-28811 Capacitor               com.confessr.app                     V  callback: 123754010, pluginId: CapacitorSQLite, methodName: run, methodData: {"database":"confessr_db","statement":"INSERT OR REPLACE INTO messages\n       (id, group_id, user_id, content, is_ghost, message_type, category, parent_id, image_url, created_at, updated_at, deleted_at)\n       VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?);","values":["b891cd83-b811-45ac-a8de-353d05d8aa30","78045bbf-7474-46df-aac1-f34936b67d24","839d1d4a-e72b-47bb-b74e-ef28a15f43ee","Gxt7citxt. H i y",1,"text",null,null,null,1759354849099,null,null],"transaction":true,"readonly":false,"returnMode":"no","isSQL92":true}
2025-10-02 03:10:49.480 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 386 - Msg: [realtime-v2] 📨 Message persisted to SQLite: id=b891cd83-b811-45ac-a8de-353d05d8aa30
2025-10-02 03:10:49.482 28811-28811 Capacitor/Plugin        com.confessr.app                     V  To native (Capacitor plugin): callbackId: 123754011, pluginId: CapacitorSQLite, methodName: run
2025-10-02 03:10:49.482 28811-28811 Capacitor               com.confessr.app                     V  callback: 123754011, pluginId: CapacitorSQLite, methodName: run, methodData: {"database":"confessr_db","statement":"UPDATE groups SET last_sync_timestamp = ? WHERE id = ?","values":[1759354849474,"78045bbf-7474-46df-aac1-f34936b67d24"],"transaction":true,"readonly":false,"returnMode":"no","isSQL92":true}
2025-10-02 03:10:50.494 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:50.489 [supabase-pipeline] push-fanout response: status=200
2025-10-02 03:10:50.494 28811-28811 Capacitor/Console       com.confessr.app                     D  File: https://localhost/assets/index-hb7OPIml.js - Line 355 - Msg: [send-1759354848333-j3sugham9ec] total: 1637.913818359375 ms
2025-10-02 03:10:50.495 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:50.490 [send-1759354848333-j3sugham9ec] finished
2025-10-02 03:10:55.748 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 728 - Msg: 📤 Send button clicked, processing message... [object Object]
2025-10-02 03:10:55.750 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 728 - Msg: 📤 About to send message: [object Object]
2025-10-02 03:10:55.750 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 386 - Msg: 📤 sendMessage called: [object Object]
2025-10-02 03:10:55.750 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 728 - Msg: ✅ Message dispatched, clearing input
2025-10-02 03:10:55.752 28811-28811 Capacitor/Plugin        com.confessr.app                     V  To native (Capacitor plugin): callbackId: 123754012, pluginId: Network, methodName: getStatus
2025-10-02 03:10:55.752 28811-28811 Capacitor               com.confessr.app                     V  callback: 123754012, pluginId: Network, methodName: getStatus, methodData: {}
2025-10-02 03:10:55.767 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 386 - Msg: 🌐 Network status: [object Object]
2025-10-02 03:10:55.901 28811-28811 Capacitor/Plugin        com.confessr.app                     V  To native (Capacitor plugin): callbackId: 123754013, pluginId: CapacitorSQLite, methodName: run
