
2025-09-24 02:15:15.773 23413-23413 Capacitor/...oardPlugin com.confessr.app                     D  No listeners found for event keyboardDidShow
2025-09-24 02:15:48.047 23413-23413 Capacitor               com.confessr.app                     V  callback: 19132499, pluginId: CapacitorSQLite, methodName: run, methodData: {"database":"confessr_db","statement":"INSERT OR REPLACE INTO messages\n       (id, group_id, user_id, content, is_ghost, message_type, category, parent_id, image_url, created_at, updated_at, deleted_at)\n       VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?);","values":["1758660347945-tohe1mat0rd","87faebb0-0bf4-49c9-8119-8d56abe52be2","839d1d4a-e72b-47bb-b74e-ef28a15f43ee","Rent g the gg",0,"text",null,null,null,1758660347949,null,null],"transaction":true,"readonly":false,"returnMode":"no","isSQL92":true}
2025-09-24 02:15:48.130 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:48.129 📤 Sending message 1758660347945-tohe1mat0rd...
2025-09-24 02:15:48.130 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:48.130 [send-1758660347945-tohe1mat0rd] input: group=87faebb0 user=839d1d4a ghost=false type=text dedupe=true
2025-09-24 02:15:48.130 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:48.130 [send-1758660347945-tohe1mat0rd] checkHealth() -> start
2025-09-24 02:15:48.141 23413-23413 Capacitor/Plugin        com.confessr.app                     V  To native (Capacitor plugin): callbackId: 19132500, pluginId: Network, methodName: getStatus
2025-09-24 02:15:48.141 23413-23413 Capacitor               com.confessr.app                     V  callback: 19132500, pluginId: Network, methodName: getStatus, methodData: {}
2025-09-24 02:15:48.170 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:48.155 🌐 Network state: online=true webViewReady=true type=wifi
2025-09-24 02:15:48.170 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:48.155 🏥 Health check: starting (online=true webViewReady=true)
2025-09-24 02:15:48.170 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:48.155 🏥 Health check: using cached access token (healthy)
2025-09-24 02:15:48.171 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:48.155 [send-1758660347945-tohe1mat0rd] checkHealth() -> healthy
